feature,category,mean_attribution,std_attribution,n_samples
Faecalibaculum,Microbiome,0.784356415271759,0.0,1
UMGS1994,Microbiome,0.704905092716217,0.3595234751701355,2
Nesciobacter,Microbiome,0.6254171133041382,0.0,1
Arcanobacterium_A_386370,Microbiome,0.40957456827163696,0.0,1
Tomitella,Microbiome,0.3324809469282627,0.19442072287011203,5
UBA2421,Microbiome,0.3155740830908245,0.6541876994746689,6
Armatimonas,Microbiome,0.3010580837726593,0.0,1
Sharpea,Microbiome,0.293693482875824,0.0,1
Proteiniclasticum,Microbiome,0.2631964343599975,0.11844508489339939,8
Aliarcobacter_475806,Microbiome,0.2491859101207444,0.20048159169593915,54
Liberibacter,Microbiome,0.23600175604224205,0.13164404407143593,2
SCTM01,Microbiome,0.21019406616687775,0.0,1
Asaia,Microbiome,0.19452005624771118,0.0,1
HS-T3,Microbiome,0.18191532790660858,0.0,1
Reyranella,Microbiome,0.1779594368611773,0.16049291255717155,3
Bacteroides_I,Microbiome,0.17389819025993347,0.0,1
Syntrophosphaera,Microbiome,0.16918961455424628,0.13733164123159955,3
Isoalcanivorax,Microbiome,0.16833367643670905,0.14059800994960844,9
Zymomonas,Microbiome,0.1680152714252472,0.0,1
Microbacter,Microbiome,0.16504798829555511,0.0,1
Jan-Feb,Season,0.0716671672924845,0.05352626916337562,385
Mar-Apr,Season,0.11517449254464879,0.08210376722335103,385
May-Jun,Season,0.06773802196968334,0.061774104018304174,385
Jul-Aug,Season,0.05486099417442335,0.04368564443021067,385
Sep-Oct,Season,0.09435918477270147,0.05864677514000889,385
Nov-Dec,Season,0.18409780152081573,0.10942202905636099,385
Indoor/Outdoor,Environment,0.4079550270620105,0.20213542183828498,385
