feature,category,mean_attribution,std_attribution,n_samples
Faecalibaculum rodentium,Microbiome,0.784356415271759,0.0,1
UMGS1994 sp900553945,Microbiome,0.704905092716217,0.3595234751701355,2
Nesciobacter abundans,Microbiome,0.6254171133041382,0.0,1
Arcanobacterium_A_386370 urinimassiliense,Microbiome,0.40957456827163696,0.0,1
Reyranella soli,Microbiome,0.39545002579689026,0.0,1
Leuconostoc_B fallax,Microbiome,0.376281498814933,0.34660422167116606,4
Tomitella biformata,Microbiome,0.3324809469282627,0.19442072287011203,5
Armatimonas rosea,Microbiome,0.3010580837726593,0.0,1
Fusobacterium_A ulcerans,Microbiome,0.29968926310539246,0.0,1
Streptococcus infantarius,Microbiome,0.28482088148593904,0.2972548207118519,5
Liberibacter asiaticus,Microbiome,0.23600175604224205,0.13164404407143593,2
Kinetoplastibacterium sorsogonicusi,Microbiome,0.23217271268367767,0.0,1
Syntrophosphaera sp002376725,Microbiome,0.223236832767725,0.1397378407418728,2
Gemmiger_A_73129 qucibialis,Microbiome,0.20809680223464966,0.0,1
Streptococcus ferus,Microbiome,0.2042551189661026,0.0,1
Nevskia ramosa,Microbiome,0.1944533884525299,0.0,1
HS-T3 sp000829755,Microbiome,0.18191532790660858,0.0,1
Corynebacterium glyciniphilum,Microbiome,0.1758443005806343,0.1759621057197793,11
Bacteroides_I graminisolvens,Microbiome,0.17389819025993347,0.0,1
Isoalcanivorax indicus,Microbiome,0.16833367643670905,0.14059800994960844,9
Jan-Feb,Season,0.0716671672924845,0.05352626916337562,385
Mar-Apr,Season,0.11517449254464879,0.08210376722335103,385
May-Jun,Season,0.06773802196968334,0.061774104018304174,385
Jul-Aug,Season,0.05486099417442335,0.04368564443021067,385
Sep-Oct,Season,0.09435918477270147,0.05864677514000889,385
Nov-Dec,Season,0.18409780152081573,0.10942202905636099,385
Indoor/Outdoor,Environment,0.4079550270620105,0.20213542183828498,385
